,No,,Nama Instansi Pemohon,Nomor Surat,Judul atau Tema Kegiatan,Lokasi/Tempat Kegiatan,Tanggal Mulai,Tanggal Selesai,Jam Mulai (WITA),Jam Selesai (WITA),Platform (Zoom/YT/Dll),Operator,dokumentasi ,AKUN ZOOM ,Informasi Pimpinan yang menghadiri kegiatan,KET
,197,,Dinas PErhubungan ,500.11.6.2/804/DISHUB-D/IX/2025,Pemilihan Pelajar Pelopor Keselamatan Berlalu Lintas Tingkat Nasional Tahun 2025,Command Center,"Sabtu, 13 September 2025","Sabtu, 13 September 2025",08.00,Selesai,Fasilitasi Zoom Meeting,,,,,
,198,,Piala Gubernur Kalimantan Utara,019/PAN-PBG/IX/2025,Turnamen Basket SMA/SMK Sederajat ,Gor Dome Sport Center ,"Selasa, 16 September 2025","Selasa, 16 September 2025",19.00,Selesai,Live Streaming,,,,,
59,199,,Kadis,,Workshop Manajemen Risiko SPBE ,Command center,"Kamis, 18 September 2025","Kamis, 18 September 2025",08.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,200,,IKP,,Rapat Pleno Tim Pansel KPID Kaltara Tahun 2026 - 2029,,"Senin, 22 September 2025","Senin, 22 September 2025",16.00,Selesai,,,,diskominfo.kaltara002@gmail.com,,
,201,,Inspektorat,," Sosialisasi Penggunaan Sistem lnformasi Reviu Kecukupan Anggaran dan SDM
(SICUKUP",Balikpapan,"Selasa, 23 September 2025","Selasa, 23 September 2025",08.30,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,202,,Dinas Kelautan dan Perikanan ,500.5.2.1/0855/DKP,Sosialisasi dan Validasi Data Statistik ,UPTD Perikanan Tengkayu II,"Rabu, 24 September 2025","Kamis, 25 September 2025",08.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
60,203,,Persandian ,,Manajemen Keamanan Informasi SPBE di Pemerintah Provinsi Kalimantan Utara,,"Rabu, 24 September 2025","Rabu, 24 September 2025",09.01,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara003@gmail.com,,
61,204,,Biro Pemerintah dan Otonomi Daerah,200.1.4.6/106/PEMOTDA,pembahasan persiapan pelaksanaan pertemuan Tim Teknis dan Sidang ke-38 KK/JKK SOSEK MALINDO Tingkat Provinsi Kalimantan Barat/Peringkat Negeri Serawak Tahun 2025,Ruang Rapat Biro Otda Lt. 2,"Rabu, 24 September 2025","Rabu, 24 September 2025",08.30,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
,205,,Biro Pemerintah dan Otonomi Daerah,200.1.4.6/107/PEMOTDA,Pembahasan Rencana Kerja dari Nota Kesepakatan antara Pemerintah Provinsi Kalimantan Utara dengan Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian ,Ruang Rapat Biro Otda Lt. 2,"Rabu, 24 September 2025","Rabu, 24 September 2025",14.00,Selesai,Fasilitasi Zoom Meeting,,,,,
62,206,,Badan Keuangan Aset dan Daerah ,000.2.3.2/569/BKAD,Rapat Penyelesaian Aset Tanah Pelabuhan Perikanan Tengkayu II Tarakan ,Ruang Rapat Lantai 1 Kantor Gubernur Kalimantan Utara,"Kamis, 25 September 2025","Kamis, 25 September 2025",09.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
64,207,,SEKDA ,,Rapat Koordinasi Pembangunan Satuan Pelayanan Pemenuhan Gizi (SPPG) di Daerah Terpencil ,Ruang Sekda ,"Sabtu, 27 September 2025","Sabtu, 27 September 2025",09.30,Selesai ,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,,,BKAD ,000.2.3.2/590/BKAD,"Rapat Koordinasi terkait Pelaporan Survey
Aset (berupa Tanah dan/atau bangunan yang idle) Koperasi Desa/Kelurahan Merah Putih
(KDKMP) pada SIPD",Command Center,"Selasa, 30 September 2025","Selasa, 30 September 2025",09.00,Selesai,Peminjaman Ruangan ,,,,,
63,208,,Dinas Sosial ,460/530/DINSOS-RS,Sosialisasi Mengenai Masyrakat Inklusif dan Ramah Disabilitas ,Command Center,"Rabu, 01 Oktober 2025","Rabu, 01 Oktober 2025",08.30,Selesai,Fasilitasi Zoom Meeting,Khaidir,,diskominfo.kaltara002@gmail.com,,
66,209,,Dinas Tenaga Kerja dan Transmigrasi,500.15.14.1/581/DTKT,Pembahasan Rencana Kerja antara BPJS Ketenagakerjaan dan Pemerintah Daerah Provinsi Kalimantan Utara,Ruang Rapat Disnaker Kota Tarakan ,"Rabu, 01 Oktober 2025","Rabu, 01 Oktober 2025",10.00,Selesai,Fasilitasi Zoom Meeting,Prezza,,diskominfo.kaltara001@gmail.com,,
70,210,,BPPD,,Rapat Finalisasi Persiapan Kunjungan Kerja Anggota DPR RI Komisi II,Ruang Rapat Asisten Pemerintah dan Kesra ,"Rabu, 01 Oktober 2025","Rabu, 01 Oktober 2025",14.00,Selesai ,Fasilitasi Zoom Meeting,Chai,,diskominfo.kaltara003@gmail.com,,
67,211,,IKP ,,Sosialisasi keterbukaan informasi publik,,"Jumat, 03 Oktober 2025","Jumat, 03 Oktober 2025",08.00,Selesai,Fasilitasi Zoom Meeting,Jumardin,,diskominfo.kaltara001@gmail.com,,
68,212,,IKP ,,Rapat Survei Diseminasi Informasi,,"Jumat, 03 Oktober 2025","Jumat, 03 Oktober 2025",10.00,Selesai ,Fasilitasi Zoom Meeting,Zidan,,diskominfo.kaltara002@gmail.com,,
72,213,,DWP,B.049SET/DWPPKU/X/2025,Sosialisasi Peenggunaan Aplikasi e- Reporting DWP,COMMAND CENTER,"Kamis, 09 Oktober 2025","Kamis, 09 Oktober 2025",08.00,Selesai,Fasilitasi Zoom Meeting,Khaidir,,,,
73,214,,Statistik,,,Peminjaman Ruangan Command Center ,"Jumat, 10 Oktober 2025","Jumat, 10 Oktober 2025",08.00,Selesai,,Prezza,,,,
74,215,,BKAD,,finalisasi penyusunan database Sistem Informasi Manajemen Standar Harga Satuan (SHS) Provinsi Kalimantan Utara,,"Selasa, 14 Oktober 2025","Selasa, 14 Oktober 2025",08.30,Selesai,PInjam ID ZOOM ,Chai,,diskominfo.kaltara002@gmail.com,,
,216,,Biro Hukum,1000.1.2/245/HK,Rapat Kordinasi Penyusunan Produk Hukum ,Ruang Rapat Lantai 1 Gubernur ,"Rabu, 15 Oktober 2025","Rabu, 15 Oktober 2025",08.30,Selesai,Fasilitasi Zoom Meeting,Jumardin,,diskominfo.kaltara002@gmail.com,,
,217,,Biro Pemerintah dan Otonomi Daerah,200.1.4.6/117/PEMOTDA,Rapat Pembahasan Perjanjian Kerja Sama Antara Pemprov Kaltara dan PEmprov Jabar ,Ruang Rapat Biro Otda Lantai 2 ,"Kamis, 16 Oktober 2025","Kamis, 16 Oktober 2025",09.00,selesai,Peralatan dan Operator,,,,,
,218,,Persandian ,,Workshop TTIS,Tarakan ,"Kamis, 16 Oktober 2025","Kamis, 16 Oktober 2025",10.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,219,,Biro Organisasi ,000.8.6.3/292/BO/2025,Pendampinagan Penyusunan Pohon Kinerja dan Rencana Strategi (Rentra) dilingkungan Pemerintahan Provinsi Kalimantan Utara,"Hotek Yuan Garden , Jakarta Pusat ","Jumat, 17 Oktober 2025","Sabtu, 18 Oktober 2025",08.00,Selesai ,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
,220,,Biro Pemerintahan dan Otonomi Daerah,100.1.3/121/PEMOTDA,TIM teknis dan sidang ke-27 (8) JKK/KK SOSEK MALINDO Peringkat Negeri SABAH -TIngkat Provinsi Kalimantan Utara,Ruang Rapat Biro Pemerintahan Kalimantan Utara Lantai 2,"Jumat, 17 Oktober 2025","Jumat, 17 Oktober 2025",09.00,Selesai ,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,221,,Biro Pemerintahan dan Otonomi Daerah,200.1.4.6/121/PEMOTDA,Finalisasi Penyusunan Kertas sebagai  bahan Petemuan (SOSEK) MALINDO Ke - 27 (8) Tahun 2025 antara Provinsi Kalimantan Utara (Indonesia) dan Negeri sabah (Malaysia),Ruang Rapat Benuanta Lantai 1,"Senin, 20 Oktober 2025","Senin, 20 Oktober 2025",09.00,Selesai ,Fasilitasi Zoom Meeting,,,,-,
,222,,ADpim ,,Undangan Pembahasan Perubahan RKA ,Adpim ,"Senin, 20 Oktober 2025","Senin, 20 Oktober 2025",14.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,223,,KI ,,Rapat Pleno Hasil Verifikasi ,KI,"Selasa, 21 Oktober 2025","Selasa, 21 Oktober 2025",10.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,224,,Disperindagkop ,,Kegiatan Akad Massal KUR 800.000 UMKM,Aula Kantor Gubernur ,"Selasa, 21 Oktober 2025","Selasa, 21 Oktober 2025",08.00,Selesai ,Fasilitasi Zoom Meeting,Zidan,,,,
,225,,Bappeda,500/398/BAPP-LIT 2,Kegiatan dan Evaluasi Monitoring Sembilan Langkah konkrit Pertumbuhan Ekonomi Daerah di Provinsi Kalimantan Utara,Ruang Rapat Benuanta Lantai 1,"Selasa, 21 Oktober 2025",21/101/25,09.00 ,Selesai,,,,diskominfo.kaltara002@gmail.com,,
74,226,,Statistik ,,Rapat Prioritas Kegiatan Presiden ,Command Center,"Rabu, 22 Oktober 2025","Rabu, 22 Oktober 2025",09.00,Selesai ,Peminjaman Ruangan,,,diskominfo.kaltara001@gmail.com, ,
,227,,Dinas Sosial ,460/543/DINSOS-RS,"Draft Penyusunan Rencana Pergub Kaltara Tentang Penghormatan, Perlindungan dan Pemenuhan Hak Penyandang Disabilitas ",Dinsos,"Rabu, 22 Oktober 2025","Rabu, 22 Oktober 2025",14.00,Selesai ,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
,228,,Pak Kadis,,Survey Diseminasi Informasi ,Command Center,"Jumat, 24 Oktober 2025","Jumat, 24 Oktober 2025",16.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara001@gmail.com,,
,229,,Badan Kepegawaian Daerah ,800.1.2.5/10298/BKD,"Pelantikan dan Pengambilan Sumpah/Janji Jabatan Pejabat Fungsional, Pengangkatan Pertama dalam Jabatan Fungsional dan Perpindahan Jabatan Administrasi kedalam Jabatan Fungsional serta Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Tahap II Formasi tahun 2024",Ruang Serba Guna Kantor Gubernur Lantai 1 ,"Jumat, 24 Oktober 2025","Jumat, 24 Oktober 2025",10.00,12.00,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
,230,,DEDSDM,000/36/SP/DESDM/X/2025,Energi  untuk negeri ,Agathis,"Minggu, 26 Oktober 2025","Minggu, 26 Oktober 2025",19.00,Selesai ,Live Streaming,,,,,
,231,,BKAD,900/700/BKAD,Pendampingan Penyusunan Perubahan APBD TA. 2025 oleh Tim Kementrian Dalam Negri RI,BKAD,"Senin, 27 Oktober 2025","Senin, 27 Oktober 2025",10.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
,232,,BKAD ,,,Command Center,"Senin, 27 Oktober 2025","Senin, 27 Oktober 2025",14.00,Selesai,Peminjaman Ruangan,,,,,
,233,,DPKP ,000.1.4/4539/DPKP/SETDA,Asistensi Percepatan Pendaftaran Investor Pembangunan Satuan Pemenuhan Pelayanan Gizi (SPPG) di Daerah Terpencil ,Ruang Rapat Benuanta Lantai 1,"Selasa, 28 Oktober 2025","Rabu, 29 Oktober 2025",10.00,Selesai,Fasilitasi Zoom Meeting,,,diskominfo.kaltara002@gmail.com,,
,234,,Poll PP,,Sosialisasi Pemanfaatan Aplikasi SIM LINMAS bagi Aparatur Bidang Linmas dan Anggota Satlinmas Se-Provinsi Kalimantan Utara,Ruang Rapat Kantor Satpol PP Kaltara,"Kamis, 30 Oktober 2025","Kamis, 30 Oktober 2025",09.00,Selesai ,Fasilitasi Zoom Meeting,Zidane,,diskominfo.kaltara001@gmail.com,,
,235,,Dinas Sosial ,460/580/DINSOS-RS,Lokakarya Finalisasi Rancangan Akhir Peraturan Gubernur Tentang Pelaksanaan Perda Nomor 17 Tahun 2024,Ruang Lantai 1 Kantor Gubernur Kalimantan Utara,"Selasa, 04 November 2025","Selasa, 04 November 2025",08.00,Selesai,Fasilitasi Zoom Meeting,Prezza,,diskominfo.kaltara001@gmail.com,,
,236,,,,,,,,,,,,,,,
,237,,,,,,,,,,,,,,,
,237,,,,,,,,,,,,,,,
,238,,,,,,,,,,,,,,,
,239,,,,,,,,,,,,,,,
,240,,,,,,,,,,,,,,,
,241,,,,,,,,,,,,,,,
,242,,,,,,,,,,,,,,,
143,243,,,,,,,,,,,,,,,
,244,,,,,,,,,,,,,,,
,245,,,,,,,,,,,,,,,
,246,,,,,,,,,,,,,,,
,247,,,,,,,,,,,,,,,
,248,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,
,250,,,,,,,,,,,,,,,
,251,,,,,,,,,,,,,,,
,252,,,,,,,,,,,,,,,
,242,,,,,,,,,,,,,,,
,243,,,,,,,,,,,,,,,
,244,,,,,,,,,,,,,,,
,245,,,,,,,,,,,,,,,
,246,,,,,,,,,,,,,,,
,247,,,,,,,,,,,,,,,
,248,,,,,,,,,,,,,,,
,249,,,,,,,,,,,,,,,
,250,,,,,,,,,,,,,,,
,251,,,,,,,,,,,,,,,
,252,,,,,,,,,,,,,,,
,253,,,,,,,,,,,,,,,
,254,,,,,,,,,,,,,,,
,255,,,,,,,,,,,,,,,
,256,,,,,,,,,,,,,,,
,257,,,,,,,,,,,,,,,
,258,,,,,,,,,,,,,,,
,259,,,,,,,,,,,,,,,
,260,,,,,,,,,,,,,,,
,261,,,,,,,,,,,,,,,
,262,,,,,,,,,,,,,,,
,263,,,,,,,,,,,,,,,
,264,,,,,,,,,,,,,,,
,265,,,,,,,,,,,,,,,
,266,,,,,,,,,,,,,,,
,267,,,,,,,,,,,,,,,
,268,,,,,,,,,,,,,,,
,269,,,,,,,,,,,,,,,
,270,,,,,,,,,,,,,,,
,271,,,,,,,,,,,,,,,
,272,,,,,,,,,,,,,,,
,273,,,,,,,,,,,,,,,
,274,,,,,,,,,,,,,,,
,275,,,,,,,,,,,,,,,
,276,,,,,,,,,,,,,,,
,277,,,,,,,,,,,,,,,
